         506395 function calls (469475 primitive calls) in 384.973 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    18734    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
       12    0.000    0.000    0.003    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\logging\__init__.py:1660(_log)
        5    0.000    0.000    0.003    0.001 C:\Users\patri\anaconda3\envs\MusicClips\Lib\re\_compiler.py:740(compile)
      506    0.000    0.000    0.003    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\subprocess.py:218(Close)
17828/17808    0.003    0.000    0.003    0.000 {built-in method builtins.len}
      418    0.003    0.000    0.003    0.000 {built-in method _winapi.CloseHandle}
        7    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        6    0.000    0.000    0.003    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\context.py:110(SimpleQueue)
        3    0.000    0.000    0.003    0.001 C:\Users\patri\anaconda3\envs\MusicClips\Lib\warnings.py:15(formatwarning)
        3    0.000    0.000    0.003    0.001 C:\Users\patri\anaconda3\envs\MusicClips\Lib\warnings.py:35(_formatwarnmsg_impl)
        2    0.000    0.000    0.003    0.001 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\pool.py:345(_setup_queues)
     2270    0.003    0.000    0.003    0.000 {method 'round' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.002    0.001 C:\Users\patri\anaconda3\envs\MusicClips\Lib\linecache.py:26(getline)
        3    0.000    0.000    0.002    0.001 C:\Users\patri\anaconda3\envs\MusicClips\Lib\linecache.py:36(getlines)
        1    0.000    0.000    0.002    0.002 C:\Users\patri\anaconda3\envs\MusicClips\Lib\linecache.py:80(updatecache)
       46    0.001    0.000    0.002    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\subprocess.py:1282(_close_pipe_fds)
       84    0.001    0.000    0.002    0.000 {method 'dump' of '_pickle.Pickler' objects}
    17082    0.002    0.000    0.002    0.000 {built-in method _codecs.charmap_encode}
     2272    0.002    0.000    0.002    0.000 {built-in method numpy.array}
       24    0.000    0.000    0.002    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\reduction.py:58(dump)
        5    0.000    0.000    0.002    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\re\_parser.py:969(parse)
       21    0.000    0.000    0.002    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\pool.py:333(_maintain_pool)
      8/5    0.000    0.000    0.002    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\re\_parser.py:452(_parse_sub)
        9    0.000    0.000    0.002    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\logging\__init__.py:1529(info)
     10/5    0.002    0.000    0.002    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\re\_parser.py:512(_parse)
    10249    0.002    0.000    0.002    0.000 {built-in method builtins.min}
       21    0.000    0.000    0.002    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\pool.py:289(_join_exited_workers)
       88    0.000    0.000    0.002    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\re\__init__.py:174(search)
        1    0.001    0.001    0.002    0.002 c:\Users\patri\Documents\GitHub\MusicClips\scripter.py:77(transpose)
       55    0.000    0.000    0.002    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\decorators.py:24(apply_to_mask)
        1    0.000    0.000    0.002    0.002 C:\Users\patri\anaconda3\envs\MusicClips\Lib\tokenize.py:445(open)
        9    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       22    0.000    0.000    0.002    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\re\__init__.py:209(findall)
     2718    0.002    0.000    0.002    0.000 {built-in method numpy.zeros}
        6    0.000    0.000    0.002    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\queues.py:361(__init__)
    15/11    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       44    0.000    0.000    0.002    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\decorators.py:36(apply_to_audio)
      452    0.001    0.000    0.002    0.000 c:\Users\patri\Documents\GitHub\MusicClips\scripter.py:124(finalize_block)
        2    0.000    0.000    0.002    0.001 {built-in method builtins.__import__}
       50    0.002    0.000    0.002    0.000 {built-in method _thread.start_new_thread}
        1    0.000    0.000    0.002    0.002 c:\Users\patri\Documents\GitHub\MusicClips\organizer.py:11(removeDir)
      109    0.002    0.000    0.002    0.000 {built-in method _winapi.ReadFile}
       12    0.000    0.000    0.002    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\logging\__init__.py:1686(handle)
      190    0.000    0.000    0.002    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\process.py:224(exitcode)
       12    0.000    0.000    0.002    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\logging\__init__.py:1746(callHandlers)
       12    0.000    0.000    0.002    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\logging\__init__.py:1011(handle)
       12    0.000    0.000    0.002    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\logging\__init__.py:1148(emit)
       22    0.000    0.000    0.002    0.000 <decorator-gen-16>:1(set_start)
        1    0.000    0.000    0.002    0.002 C:\Users\patri\anaconda3\envs\MusicClips\Lib\tokenize.py:352(detect_encoding)
        1    0.000    0.000    0.002    0.002 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\connection.py:1(<module>)
        1    0.000    0.000    0.002    0.002 C:\Users\patri\anaconda3\envs\MusicClips\Lib\tokenize.py:376(read_or_stop)
        1    0.002    0.002    0.002    0.002 {method 'readline' of '_io.BufferedReader' objects}
        7    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
        1    0.000    0.000    0.001    0.001 c:\Users\patri\Documents\GitHub\MusicClips\scripter.py:33(get_pack_notes)
        1    0.000    0.000    0.001    0.001 C:\Users\patri\anaconda3\envs\MusicClips\Lib\shutil.py:710(rmtree)
       11    0.000    0.000    0.001    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\audio\io\AudioFileClip.py:86(close)
       33    0.000    0.000    0.001    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\audio\io\readers.py:147(close_proc)
       77    0.000    0.000    0.001    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\decorators.py:10(outplace)
        1    0.000    0.000    0.001    0.001 C:\Users\patri\anaconda3\envs\MusicClips\Lib\shutil.py:619(_rmtree_unsafe)
       50    0.001    0.000    0.001    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\threading.py:882(__init__)
